"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015013078",271.211070998724,-0.193588028554105,0.116665419053878,-1.65934370376455,0.097046553379522,0.227814778369787
"ENSNFUG00015013090",60.1508597496346,-0.128674638737433,0.167689341780353,-0.767339398982059,0.44287974918049,0.632329003276327
"ENSNFUG00015013093",22.1704250259604,1.00812464001001,0.377944384946732,2.66738885445301,0.00764431689229442,0.0340565899850038
"ENSNFUG00015013097",467.88157870148,-0.174553216465404,0.073840562095416,-2.36392047286758,0.0180826938184895,0.0659354574700972
"ENSNFUG00015013167",224.510104624521,-0.0107388579637443,0.18805140753997,-0.0571059696081336,0.954460781126054,0.974974459501268
"ENSNFUG00015013173",32.8607985421649,-0.0596042430989565,0.274451792470937,-0.217175637886454,0.828071469748059,0.907176359779133
"ENSNFUG00015013180",213.332776241361,-0.200585893723006,0.105704609086318,-1.89760782861614,0.0577477623848793,0.156451032416922
"ENSNFUG00015013183",100.269930035355,-0.261094334120602,0.181073082710749,-1.44192792331084,0.149322707915539,0.308392365392524
"ENSNFUG00015013216",27413.5618191287,-0.840903186575682,0.211293789065895,-3.97978184921201,6.89785365407196e-05,0.000824043156193114
"ENSNFUG00015013239",59.3263280344259,1.41756036952523,0.32841114002003,4.31641986760488,1.58580211654854e-05,0.000250693147499964
"ENSNFUG00015013243",0.818267869340726,0.856565692832396,1.35550232506969,0.631917538605739,0.527440762266554,NA
"ENSNFUG00015013244",3.00792852955426,-0.762669842835939,0.87696696144954,-0.869667702846321,0.384482027149522,0.578133749336891
"ENSNFUG00015013245",1024.69228818889,-0.560819240371994,0.150205410046651,-3.73368203047956,0.000188700698958376,0.00185116392977272
"ENSNFUG00015013252",333.31006920102,0.0192079276094592,0.303198583155136,0.0633509807650755,0.949487020477297,0.972551661058329
"ENSNFUG00015013279",618.232195558371,-0.00315169529232144,0.228193555593381,-0.0138114999966847,0.988980367738539,0.993947964028919
"ENSNFUG00015013427",631.572556463546,-0.784733496759242,0.224555826099978,-3.49460314785981,0.00047476711561075,0.00381839504032235
"ENSNFUG00015013490",0.724458171654796,1.76408605991004,1.19372216472379,1.47780288583167,0.139460545739477,NA
"ENSNFUG00015013497",1.59808600995559,1.28892283940787,1.00789908936933,1.27882131554895,0.200959985943332,0.378332513554147
"ENSNFUG00015013504",0.375500106183279,1.35220267127324,2.05236111089386,0.658852218596326,0.509990671251876,NA
"ENSNFUG00015013511",76.1520055214902,1.34806864777827,0.408513475330599,3.29993679324118,0.000967066063477983,0.00667920698336359
"ENSNFUG00015013536",139.767114600434,-0.0164861229521562,0.133778589669323,-0.123234390442499,0.901921493478259,0.947642798402784
"ENSNFUG00015013563",2.29900524738246,0.6139015520166,0.727760312986856,0.84354909310325,0.398921421403955,0.592207150861327
"ENSNFUG00015013570",2.19707641125648,1.28911039601325,0.885573162146977,1.45567915911989,0.145481333769602,0.303155991082021
"ENSNFUG00015013580",106.683222101318,-0.494931944362798,0.158968994661236,-3.11338664132274,0.00184953544833187,0.0112023634281963
"ENSNFUG00015013642",116.492289845159,0.240177945897156,0.130154379340941,1.84533126824728,0.0649893646334181,0.170681250239463
"ENSNFUG00015013647",753.983189367125,-0.251760873864342,0.132178977335939,-1.904696790205,0.0568194964892605,0.15471164025225
"ENSNFUG00015013657",0.272937690575624,-0.958597227344823,3.3959839321768,-0.282273781763852,0.777733587607279,NA
"ENSNFUG00015013665",136.418563560907,0.313069574556083,0.213363979972223,1.46730284369855,0.142293690492374,0.298966939591269
"ENSNFUG00015013685",441.139737965548,0.348379531372494,0.198264092806234,1.75714889388958,0.078892433622165,0.19610176269946
"ENSNFUG00015013697",75.1246035768848,0.449830062668482,0.147493104283408,3.04983792194198,0.00228964892501838,0.0132703358064206
"ENSNFUG00015013762",5.62196443422961,0.733660542106827,0.500331131093452,1.46634997607173,0.142552966931491,0.299344941891084
"ENSNFUG00015013765",4.83525275878617,0.408822999564352,0.539607287308047,0.75763061244754,0.448672148610404,0.636838958184027
"ENSNFUG00015013770",0.925397985013461,-0.305287169657833,2.25829947794019,-0.135184537143979,0.892465972435179,NA
"ENSNFUG00015013780",0.748716791169668,2.01604031140061,1.63435372054019,1.23353976930665,0.217374448700285,NA
"ENSNFUG00015013784",7.29992019584377,0.0816275961718498,0.434746751564037,0.187758955939723,0.851065611876217,0.919396271471524
"ENSNFUG00015013789",0.767393467431053,0.691659607717727,1.55008778734676,0.446206733169365,0.655447919683041,NA
"ENSNFUG00015013795",0.385498088625542,-1.24713288143736,3.23876016692198,-0.385064906680815,0.700189327456257,NA
"ENSNFUG00015013796",0.176269184220133,-0.670062479924368,3.41399654508009,-0.19626923199146,0.844399442321255,NA
"ENSNFUG00015013800",0,NA,NA,NA,NA,NA
"ENSNFUG00015013803",225.238782523468,0.114891367148307,0.188660720758441,0.608984035926653,0.542535020467785,0.716055701844635
"ENSNFUG00015013812",134.887897345302,0.14585654403356,0.18162027378995,0.803085145671833,0.42192552275919,0.613444896013471
"ENSNFUG00015013816",16.1882482862082,1.04837720499483,0.384621384725113,2.72573821069284,0.00641578622049714,0.0297242297312234
"ENSNFUG00015013823",456.236304021908,-0.00958185882735105,0.0659707209017451,-0.145244112787884,0.884518138213532,0.93744129671391
"ENSNFUG00015013833",168.971517957354,0.22052918467896,0.112813594643093,1.95481036994386,0.050605456737173,0.141948885452159
"ENSNFUG00015013838",57.7347643714248,1.32765805062353,0.365832562038738,3.62914127497198,0.000284365593075155,0.00255546635048346
"ENSNFUG00015013859",1216.18512381045,-0.289229308131466,0.0708683700757748,-4.08121857215303,4.48002000718698e-05,0.000575330392229331
"ENSNFUG00015013925",180.810390664856,-1.57070229094035,0.389750368686319,-4.030021308856,5.57717967896482e-05,0.000687114767934141
"ENSNFUG00015013929",221.543013174788,0.222794029382638,0.237834077687215,0.936762433496363,0.348880773071685,0.543533731471518
"ENSNFUG00015013934",430.373930818332,-0.128923407094395,0.0983293150504373,-1.31113907412316,0.189810781634777,0.36360654797414
"ENSNFUG00015013940",670.073571009962,-0.191622243198753,0.0973499766066969,-1.96838509754271,0.0490237452542806,0.138674950669355
"ENSNFUG00015013945",19.8949020857955,-0.652212442454272,0.302747313006659,-2.15431290199404,0.0312156417501282,0.0991834900915557
"ENSNFUG00015013948",0.195266426335827,0.0512785961082815,2.87298931434192,0.0178485161264957,0.985759700641016,NA
"ENSNFUG00015013950",1.99129702790134,0.8884258432436,0.761074483381191,1.16733100720527,0.243076721320927,0.429854143110865
"ENSNFUG00015013956",43.1031672545681,0.549256609793969,0.237364885624376,2.31397583660776,0.0206690476235849,0.0726908468930057
"ENSNFUG00015013965",2.17515479661657,0.0359273387159636,0.797334320527305,0.0450593155104669,0.964060029983096,0.979690374332804
"ENSNFUG00015013969",59.7870777287125,0.223049723369779,0.141529014087731,1.57599997998654,0.115025807824635,0.25705960072524
"ENSNFUG00015013978",1100.92143857952,0.160949974681038,0.186655749113267,0.862282439440802,0.388532113694719,0.581887857610162
"ENSNFUG00015014011",2763.01258623876,-0.081954203530477,0.0883479532932001,-0.927629905115016,0.353599579680206,0.548300627948783
"ENSNFUG00015014133",0,NA,NA,NA,NA,NA
"ENSNFUG00015014331",217.943910991988,0.0866409819979607,0.105131673421276,0.8241187377545,0.40987209430386,0.601991961084451
"ENSNFUG00015014358",1.15822287834983,-0.926113346087191,1.20348642595875,-0.769525377363029,0.441581485296385,NA
"ENSNFUG00015014363",0.839485674426327,1.7268073587044,1.44237582396791,1.19719654892303,0.231229954687609,NA
"ENSNFUG00015014400",199.958564391804,2.09164427716745,0.425232392686243,4.9188263009652,8.70646854590929e-07,2.6816166318846e-05
"ENSNFUG00015014415",167.801238961131,1.54999697126663,0.286904118146863,5.40249119210345,6.57216855719125e-08,3.64160887416429e-06
"ENSNFUG00015014436",103.912794553027,-0.385196773297484,0.142451472140217,-2.70405610774124,0.00684987218440903,0.0312559965410247
"ENSNFUG00015014452",174.667637671013,-0.402149755788466,0.131814600850438,-3.05087413074035,0.00228176207340224,0.0132315800696133
"ENSNFUG00015014461",349.124720148573,-0.0753378761399996,0.0809090174424556,-0.931143134862338,0.351779528365023,0.546208120751522
"ENSNFUG00015014486",487.646613592826,-0.074854529803816,0.0845562298866636,-0.885263331917099,0.376014621728464,0.570541520089295
"ENSNFUG00015014606",1439.12242847425,-0.0585980543065884,0.147739025032428,-0.396632198525248,0.691638705060068,0.825186087609051
"ENSNFUG00015014927",144.802484061693,0.320042426630871,0.112705940781967,2.83962339882335,0.004516682205005,0.022515007384036
"ENSNFUG00015014932",0.196889423200482,0.0512786152321201,2.86721746761138,0.0178844527181397,0.985731031965424,NA
"ENSNFUG00015014957",20.8851322581275,0.612296763860701,0.341620776467096,1.79232882201378,0.0730803090394262,0.185480498935029
"ENSNFUG00015014973",0.69487413296362,0.157976038267469,1.45070178375863,0.108896287325275,0.913284751419014,NA
"ENSNFUG00015014992",324.923181012133,0.144325270078583,0.0786998994549565,1.83386854466297,0.0666735098326438,0.173985435136587
"ENSNFUG00015015058",1994.99956376144,-0.367669127156657,0.159332073542034,-2.3075650682451,0.0210233392752945,0.0736735580864563
"ENSNFUG00015015216",477.310819116444,0.208455509150336,0.14568826503185,1.43083253208325,0.152478216993876,0.313295641420474
"ENSNFUG00015015758",31.0142012590723,-0.256014664997091,0.208443468348921,-1.22822109526857,0.219363981757293,0.401419397330091
"ENSNFUG00015015765",259.520537142791,0.0923445287812842,0.255592146787347,0.361296424565481,0.717877866249707,0.841467023727266
"ENSNFUG00015015798",6.65623303621941,0.428980046801618,0.456209587752196,0.94031352763816,0.347056762697521,0.541659079106045
"ENSNFUG00015015802",5.48235066823426,-0.201156419442676,0.578939282412734,-0.347456850059225,0.728248130192305,0.848127731272541
"ENSNFUG00015015805",0.864145932939263,-0.250334861465959,1.36205453718698,-0.183792098356773,0.854176555143314,NA
"ENSNFUG00015015808",2.57491362296643,1.40838364773933,0.77095142371753,1.82681243514423,0.0677279755485606,0.175821665070324
"ENSNFUG00015015809",96.969948693762,-0.0172457333135404,0.119355856827066,-0.144490046588394,0.885113515649536,0.93773495113521
"ENSNFUG00015015812",24.6897061301916,0.458752477165773,0.33437164713328,1.37198378241357,0.170068486478916,0.337459090545217
"ENSNFUG00015015817",174.83004999368,-0.246991301528706,0.131082622731041,-1.88424137679552,0.0595323330563999,0.159977508389245
"ENSNFUG00015015823",102.703590334284,-0.124319228570572,0.12039818949308,-1.03256725947459,0.301806456591158,0.496564420390291
"ENSNFUG00015015824",253.024433775517,0.145513461348855,0.124438508121768,1.16936038164702,0.242258464911109,0.428842986569648
"ENSNFUG00015015826",12.6629230138313,0.483600388858988,0.324763587530251,1.48908439069987,0.136465147629402,0.290236850291369
"ENSNFUG00015015831",26.3552196108296,0.122105032042217,0.227557214903043,0.536590466244911,0.5915505310092,0.753593891765114
"ENSNFUG00015015833",326.600614552626,-0.334026154243417,0.113098744735909,-2.95340284300578,0.00314291524379228,0.01689067474966
"ENSNFUG00015015835",28.0304976336471,0.67441672071635,0.32060335666263,2.10358596284454,0.0354145794807373,0.109276300725997
"ENSNFUG00015015840",439.537497487282,-0.099399707099326,0.167158749901799,-0.594642560785604,0.552082424200719,0.723629937646268
"ENSNFUG00015015843",0.657148069641538,1.79156828346389,1.87246815755296,0.956795060165515,0.338670706066501,NA
"ENSNFUG00015015849",4.68575873762015,0.0109604341718162,0.484875789750055,0.0226046224693257,0.981965656573634,0.990026377433301
"ENSNFUG00015015857",9.62666275331689,0.270927559611122,0.380347096701009,0.712316623318667,0.476268732493768,0.660650559539438
