"","Intercept","age_young_vs_old"
"ENSNFUG00015000482",9.00751892968388,0.167305198610698
"ENSNFUG00015000486",8.09496148517803,-0.280057235079254
"ENSNFUG00015000494",8.60564703922614,0.174408027772673
"ENSNFUG00015000508",10.4942032200661,0.232417675112806
"ENSNFUG00015000514",3.82685181365099,0.119189980607612
"ENSNFUG00015000524",-0.917180833926895,1.50260168305657
"ENSNFUG00015000527",5.98699849708125,1.04550355778608
"ENSNFUG00015000537",-1.84070417000926,0.0512790110588775
"ENSNFUG00015000544",-0.378182721075563,-0.0561307264804772
"ENSNFUG00015000551",0.770741860483527,0.321523850112221
"ENSNFUG00015000556",3.03130276119126,0.243814165625373
"ENSNFUG00015000567",0.402679329193938,0.949274948980565
"ENSNFUG00015000569",4.52967375032491,1.03805734673412
