"","Intercept","Q2.00"
"ENSNFUG00015000320",4.27025133282124,-0.00291242228064594
"ENSNFUG00015000330",10.3453256998281,-0.000104499926126654
"ENSNFUG00015000338",4.61810982287207,-0.000385425167841636
"ENSNFUG00015000351",9.64752617170747,-0.000624730762407698
"ENSNFUG00015000352",8.13511313175645,0.00150354835036611
"ENSNFUG00015000353",-1.78776945464553,-0.000539601682613111
"ENSNFUG00015000357",-0.929586218640206,0.00149368351230566
"ENSNFUG00015000358",-1.73348651683233,0.00638920190477142
"ENSNFUG00015000361",11.0158645603709,-0.000217306581633466
"ENSNFUG00015000364",0.979278602484329,-0.00281114749760585
"ENSNFUG00015000368",8.26033938837505,-0.000747364932124435
"ENSNFUG00015000375",0.257462745754493,0.00110030728436988
"ENSNFUG00015000378",-1.84253617288599,-0.00267261633864092
"ENSNFUG00015000380",0.131256741928977,-0.00321557846372497
"ENSNFUG00015000382",9.27900863230792,0.000358015661081772
"ENSNFUG00015000387",8.15842030030326,0.000131704024921441
"ENSNFUG00015000388",3.91687329147742,-0.000242450808611851
"ENSNFUG00015000392",6.11528114278119,0.00615091866088945
"ENSNFUG00015000397",8.29881776192743,0.000498769557971607
"ENSNFUG00015000398",9.08149916643815,0.000687108461054748
"ENSNFUG00015000424",8.87256291473869,0.000105413853041187
"ENSNFUG00015000428",10.8100856759503,0.000894032732797634
"ENSNFUG00015000443",10.9960618323623,0.00265836708644955
"ENSNFUG00015000453",6.34149572096151,-0.000268980367160198
"ENSNFUG00015000459",5.75221429985178,0.000523096456298393
"ENSNFUG00015000463",8.77252082202813,-0.000173696185221889
"ENSNFUG00015000467",9.33629190348658,-0.000702157505913343
"ENSNFUG00015000475",8.06237201476543,0.000823429455918463
"ENSNFUG00015000479",7.60572459389387,-0.00108358646005139
"ENSNFUG00015000482",9.00674908208031,0.000679485971146111
"ENSNFUG00015000486",8.06870210652545,-0.000714839044673648
"ENSNFUG00015000494",8.63359445188263,0.000332350690942133
"ENSNFUG00015000508",10.5580296337936,9.11748978641684e-05
"ENSNFUG00015000514",3.84161840118561,0.000296111156999431
"ENSNFUG00015000524",0.12681062443599,-0.0049750407463627
"ENSNFUG00015000527",6.18958461612246,0.00226797044113722
"ENSNFUG00015000537",-1.82924404842036,4.49808978296431e-05
"ENSNFUG00015000544",-0.227177067935566,-0.00282300244238414
"ENSNFUG00015000551",0.696335368172119,0.00207460111798631
"ENSNFUG00015000556",2.92857427717823,0.0021280714787501
"ENSNFUG00015000567",0.418083029294244,0.00369294945143198
"ENSNFUG00015000569",4.68541866405334,0.00270937063515163
"ENSNFUG00015000575",-2.24858753320061,0.00537099907819528
"ENSNFUG00015000582",1.80823606792461,0.00107545004069453
"ENSNFUG00015000584",8.5391197413636,0.000405433141408413
"ENSNFUG00015000586",7.74747886895216,0.000420351983374296
"ENSNFUG00015000600",7.0412241674032,0.000162737090254269
"ENSNFUG00015000605",3.38978115105818,0.00463791546113349
"ENSNFUG00015000612",8.67811564486196,0.0007345487165533
"ENSNFUG00015000615",8.38858438445086,0.00243523192039629
"ENSNFUG00015000622",6.21837158475615,0.000821336341845596
"ENSNFUG00015000627",-1.84253617288599,-0.00267261633864092
