GENE,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,FDR_p_values
ENSG00000137251,0.161591779526284,0.009153921258335,0.522991035351799,1.0600501828243,0.379319704193715,2,-9.10233168478718,26.2046633695744,28.7608926880354,3.00871585364182,11,14,0.634471704073975
ENSG00000108578,0.161577462739006,0.009137001418825,0.171107952107509,1.05993816431475,0.379355330830258,2,6.53944365191927,-5.07888730383853,-2.5226579853775,0.322057244018683,11,14,0.634471704073975
ENSG00000125730,0.161495802560577,0.009040493935227,1.30052271524671,1.05929930559154,0.379558590602654,2,-21.8557328793868,51.7114657587736,54.2676950772347,18.6049526615995,11,14,0.634751297115423
ENSG00000103429,0.161476915534045,0.009018172903871,0.231431609401496,1.0591515628969,0.37960561485232,2,2.31158715280427,3.37682569439147,5.9330550128525,0.589166488131835,11,14,0.634752744377498
ENSG00000146109,0.161472140606065,0.009012529807167,0.181547921518706,1.0591142123474,0.379617504053716,2,5.71029374894722,-3.42058749789445,-0.864358179433411,0.362556125885385,11,14,0.634752744377498
ENSG00000100889,0.161403518532722,0.008931430993216,0.438034809936759,1.0585774821959,0.379788401363415,2,-6.62060850883667,21.2412170176733,23.7974463361344,2.11061944187966,11,14,0.634835716200034
ENSG00000101194,0.16138280528354,0.008906951698728,0.341074542135461,1.05841548998953,0.379839998276141,2,-3.11784588984571,14.2356917796914,16.7919210981525,1.27965027622206,11,14,0.634835716200034
ENSG00000085872,0.161379405569648,0.008902933855039,0.104379842148122,1.05838890259543,0.37984846754565,2,13.4590568035373,-18.9181136070747,-16.3618842886136,0.119846665915534,11,14,0.634835716200034
ENSG00000101850,0.161371748933792,0.008893885103572,0.761502378487623,1.05832902481815,0.379867542102594,2,-14.3625373019626,36.7250746039251,39.2813039223862,6.37874459686537,11,14,0.634835716200034
ENSG00000252840,0.161344728945171,0.008861952389748,0.609658389783547,1.0581177270636,0.379934861781058,2,-11.249014131113,30.4980282622261,33.0542575806871,4.08851687456814,11,14,0.634897596297641
ENSG00000173992,0.161333832339941,0.008849074583567,0.147057484547112,1.05803251888103,0.37996201318351,2,8.66003897509691,-9.32007795019383,-6.76384863173279,0.237884941374565,11,14,0.634897596297641
ENSG00000165476,0.161258198188189,0.00875968876786,0.196099591465607,1.05744114353089,0.380150516854015,2,4.6308517399483,-1.2617034798966,1.29452583856443,0.423005547502756,11,14,0.635164563496448
ENSG00000160209,0.161084289545879,0.008554160372402,0.3286705051692,1.05608177491723,0.380584241161588,2,-2.59921158971894,13.1984231794379,15.7546524978989,1.18826731064995,11,14,0.635633524546448
ENSG00000174943,0.161076642632947,0.008545123111665,0.160723919486624,1.05602201524304,0.380603321682006,2,7.41593533697676,-6.83187067395351,-4.27564135549248,0.284153961246571,11,14,0.635633524546448
ENSG00000176209,0.161007369167979,0.008463254471248,0.265978504197218,1.05548070135694,0.380776207980954,2,0.363751919415791,7.27249616116842,9.82872547962945,0.778190211644886,11,14,0.635825508189982
ENSG00000102385,0.160925710003619,0.008366748186095,0.46422225798594,1.05484271842451,0.380980087869153,2,-7.43351934688246,22.8670386937649,25.423268012226,2.37052535290521,11,14,0.636061502153719
ENSG00000237330,0.160916190530747,0.008355497899974,0.428900005989142,1.05476835321006,0.381003861118181,2,-6.32556443821238,20.6511288764248,23.2073581948858,2.02350736651234,11,14,0.636061502153719
ENSG00000153157,0.16075049628512,0.008159677427869,0.322168714379444,1.05347423579594,0.381417848508922,2,-2.3194862857702,12.6389725715404,15.1952018900014,1.14171948577394,11,14,0.636491588970001
ENSG00000130024,0.160697918229473,0.008097539725741,0.15386527367399,1.05306369358411,0.381549291777016,2,8.02648561324967,-8.05297122649933,-5.4967419080383,0.260419746870492,11,14,0.636587447711596
ENSG00000144485,0.160541242194513,0.00791237713897,0.332745949552381,1.05184063405104,0.381941196074301,2,-2.77174114518335,13.5434822903667,16.0997116088277,1.21791853637867,11,14,0.637095465034629
ENSG00000132855,0.160398609774002,0.007743811551093,0.526509314660156,1.05072760005739,0.382298258468047,2,-9.19619748451377,26.3923949690275,28.9486242874886,3.04933264266298,11,14,0.63750022657183
ENSG00000183775,0.160350583789864,0.007687053569839,0.442626662862362,1.05035291374935,0.382418546945523,2,-6.76660450282457,21.5332090056491,24.0894383241102,2.15510198944338,11,14,0.637556085034243
ENSG00000139292,0.1603183142867,0.007648916884282,0.32978314180067,1.05010117950568,0.382499388281026,2,-2.64652525481303,13.2930505096261,15.8492798280871,1.19632612677513,11,14,0.637556085034243
ENSG00000155269,0.160316150751589,0.007646359979151,0.338967712761555,1.05008430247048,0.382504808854292,2,-3.03109920494353,14.0621984098871,16.6184277283481,1.2638902132428,11,14,0.637556085034243
ENSG00000095951,0.160218659617964,0.007531143184867,0.248162571444831,1.04932389602503,0.382749130735152,2,1.33439197874355,5.3312160425129,7.88744536097393,0.677431280527221,11,14,0.637819037685679
ENSG00000049192,0.160151648683547,0.007451948444192,0.36314320225979,1.04880132988153,0.382917140424768,2,-3.99559270416693,15.9911854083339,18.5474147267949,1.45060283882244,11,14,0.637936354553004
ENSG00000072756,0.160126095253478,0.007421748935928,0.232250334277358,1.04860208052294,0.382981223826633,2,2.26214740070598,3.47570519858805,6.03193451704908,0.593342395491391,11,14,0.637936354553004
ENSG00000168137,0.160113873276141,0.007407304780894,0.165569587292174,1.04850678562085,0.383011877447263,2,7.00008681005313,-6.00017362010627,-3.44394430164523,0.301546170597108,11,14,0.637936354553004
ENSG00000116898,0.160069697661757,0.007355097236622,0.238264465352003,1.0481623709596,0.383122689887358,2,1.90423125873435,4.19153748253131,6.74776680099234,0.624469509944234,11,14,0.637936354553004
ENSG00000166002,0.160052167825832,0.007334380157801,0.262800091689976,1.04802570983901,0.383166669921102,2,0.532057941507485,6.93588411698503,9.49211343544606,0.759702770114857,11,14,0.637936354553004
ENSG00000118596,0.159968298065916,0.007235261350628,0.36819643339473,1.04737194719775,0.383377145189274,2,-4.18906331155847,16.3781266231169,18.934355941578,1.4912547492106,11,14,0.638143960422358
ENSG00000139921,0.159834639925946,0.007077301730663,0.130267743812651,1.04633035515201,0.383712762322654,2,10.3572822351996,-12.7145644703992,-10.1583351519382,0.186666535858423,11,14,0.638408315295954
ENSG00000187097,0.159813046116115,0.007051781773591,0.263552213877183,1.04616210663051,0.383767007177228,2,0.492047789842046,7.01590442031591,9.57213373877694,0.764057463835206,11,14,0.638408315295954
ENSG00000129484,0.159637542365045,0.006844368249598,0.182284861854176,1.04479498700921,0.384208115154734,2,5.65357989974382,-3.30715979948765,-0.750930481026613,0.365505479473154,11,14,0.638901406933558
ENSG00000112304,0.15962612012063,0.006830869233471,0.525122886624628,1.04470603106975,0.384236837990261,2,-9.15928343087604,26.3185668617521,28.8747961802131,3.0332945066268,11,14,0.638901406933558
ENSG00000121577,0.15952598889582,0.006712532331424,0.281628178735246,1.04392631697716,0.384488707213368,2,-0.436658762722982,8.87331752544596,11.429546843907,0.872458741635047,11,14,0.639153464037698
ENSG00000107263,0.159519877771743,0.006705310093878,0.148041734639329,1.04387873614257,0.384504083455024,2,8.56664969114434,-9.13329938228868,-6.57707006382764,0.241079907145236,11,14,0.639153464037698
ENSG00000170776,0.159383031688412,0.006543582904487,0.131915801522538,1.04281344218755,0.384848534631888,2,10.1812749132767,-12.3625498265534,-9.80632050809234,0.19141956560467,11,14,0.63949002825925
ENSG00000250021,0.159313235890319,0.006461096961286,0.265766883664164,1.04227024238297,0.385024312739855,2,0.374895175894584,7.25020964821083,9.80643896667187,0.776952400978172,11,14,0.639681505683164
ENSG00000183671,0.159151981872385,0.006270524031,0.288040233216282,1.0410155954786,0.385430676164649,2,-0.751833528050255,9.50366705610051,12.0598963745615,0.91263893546419,11,14,0.640207071321934
ENSG00000185527,0.159130252607089,0.006244843990196,0.579667560028468,1.04084656637079,0.385485461175976,2,-10.5427978972928,29.0855957945856,31.6418251130467,3.69615928164293,11,14,0.640207071321934
ENSG00000159352,0.159099543572515,0.00620855149479,0.157870986807067,1.04060769971087,0.38556289733707,2,7.66667459466204,-7.33334918932407,-4.77711987086304,0.274155733229809,11,14,0.640251680383593
ENSG00000101290,0.159074284740718,0.006178700148121,0.146295398986556,1.04041123989672,0.385626599759719,2,8.73277882152897,-9.46555764305793,-6.9093283245969,0.235425781410992,11,14,0.640251680383593
ENSG00000105778,0.159053214150599,0.006153798541617,0.156814651915984,1.04024736469467,0.385679746082694,2,7.76066518210792,-7.52133036421585,-4.96510104575481,0.270499185610844,11,14,0.640252175369429
ENSG00000187446,0.159035246059439,0.006132563524791,0.33387571679998,1.04010762547218,0.385725071710465,2,-2.81919461814369,13.6383892362874,16.1946185547484,1.2262029369557,11,14,0.640268281907323
ENSG00000076924,0.158993259138361,0.006082942618063,0.121043426501396,1.03978111324657,0.385831003322047,2,11.3854775478001,-14.7709550956002,-12.2147257771392,0.161166622091186,11,14,0.640347948677366
ENSG00000172270,0.158927721854937,0.006005489464926,0.22815519881407,1.03927152625924,0.385996399290104,2,2.5112035234629,2.97759295307419,5.53382227153523,0.572602742204763,11,14,0.640526267270306
ENSG00000163702,0.158890197236015,0.005961142188018,0.583643385184775,1.03897978828253,0.386091126012569,2,-10.638493324449,29.2769866488979,31.833215967359,3.74703561176937,11,14,0.640587280680616
ENSG00000031823,0.158804556198724,0.005859930053037,0.107830241856916,1.03831406307441,0.386307388516938,2,13.0037546568719,-18.0075093137438,-15.4512799952827,0.12790097164813,11,14,0.640801802729019
ENSG00000114993,0.158764502956357,0.005812594402967,0.357764876003916,1.03800275823912,0.386408565796564,2,-3.78669515710498,15.57339031421,18.129619632671,1.40795277152307,11,14,0.640921538750885
ENSG00000233276,0.158621371501662,0.005643439047418,0.589670566846824,1.03689054334099,0.386770303010756,2,-10.7823274369381,29.5646548738762,32.1208841923372,3.82482515146,11,14,0.641330195330274
ENSG00000068028,0.158601304785586,0.005619723837511,0.152049725419705,1.03673464349553,0.386821039912651,2,8.1926623228722,-8.38532464574441,-5.82909532728337,0.254310309002285,11,14,0.641330195330274
ENSG00000100767,0.158598273663908,0.0056161416028,0.865534861049192,1.03671109512683,0.386828704306863,2,-16.1552982937892,40.3105965875783,42.8668259060393,8.24065655260588,11,14,0.641330195330274
ENSG00000102996,0.158569738229454,0.005582417907536,0.144053524586133,1.03648941556588,0.386900864155345,2,8.94897983221023,-9.89795966442047,-7.34173034595943,0.228265597402564,11,14,0.641330195330274
ENSG00000090863,0.158520066492605,0.005523714945806,0.276140693026995,1.03610357299348,0.387026499342931,2,-0.161178065906014,8.32235613181203,10.8785854502731,0.838790505799717,11,14,0.641368975783454
ENSG00000164938,0.158496189253511,0.005495496390513,0.486492330320662,1.03591811440641,0.38708690414462,2,-8.08952707222557,24.1790541444511,26.7352834629122,2.60342266206911,11,14,0.641416913365867
ENSG00000180198,0.158468680019667,0.005462985477789,0.161001732515513,1.03570445854415,0.387156506753791,2,7.39175707610797,-6.78351415221595,-4.22728483375491,0.285137136602964,11,14,0.641416913365867
ENSG00000159210,0.158462757094846,0.005455985657546,0.152274123088595,1.03565845881391,0.387171494007725,2,8.17201610701223,-8.34403221402446,-5.78780289556343,0.255061494186406,11,14,0.641416913365867
ENSG00000155744,0.158442272610257,0.005431776721213,0.139713369151731,1.03549937335771,0.387223331209524,2,9.37726738888252,-10.754534777765,-8.19830545930401,0.214718080717006,11,14,0.641454716455826
ENSG00000106348,0.158387925685051,0.005367548536878,0.17232993857596,1.03507734484068,0.387360886841474,2,6.43981642255204,-4.87963284510407,-2.32340352664304,0.326673685025535,11,14,0.64158561530192
ENSG00000107719,0.158320425173568,0.005287775205125,0.200445903885639,1.03455324864476,0.387531790726179,2,4.32394717860213,-0.647894357204255,1.90833496125678,0.441964164229837,11,14,0.641773316901572
ENSG00000197136,0.158138546102389,0.005072827211914,0.064977783805411,1.03314149797019,0.387992595661363,2,20.0949329045084,-32.1898658090168,-29.6336364905558,0.04644323627089,11,14,0.642199650100669
ENSG00000007001,0.158088657986735,0.005013868529778,0.437413018462139,1.03275437155632,0.388119069444222,2,-6.60072135662474,21.2014427132495,23.7576720317105,2.10463163592175,11,14,0.642274597410979
ENSG00000066136,0.158084500102896,0.005008954667059,0.125847467288328,1.03272210889595,0.388129611819909,2,10.8405804871213,-13.6811609742427,-11.1249316557817,0.174213435251755,11,14,0.642274597410979
ENSG00000196914,0.158074842989924,0.004997541715364,0.178564828539164,1.0326471767777,0.388154098476059,2,5.94224475332037,-3.88448950664074,-1.32826018817971,0.350739377903433,11,14,0.642274597410979
ENSG00000198763,0.158058683625251,0.004978444284388,0.236026589192881,1.03252179579693,0.388195075122829,2,2.03634633209159,3.92730733581682,6.48353665427786,0.612794058866275,11,14,0.642294321526207
ENSG00000158315,0.157984702058063,0.004891011523165,0.192446443015541,1.03194783211559,0.388382721541266,2,4.89411828176591,-1.78823656353182,0.767992754929212,0.40739196772267,11,14,0.642412455826824
ENSG00000154743,0.157938794297526,0.004836756897076,0.219917255475331,1.03159172130692,0.388499199028254,2,3.02604974079766,1.94790051840467,4.50412983686571,0.531999591813822,11,14,0.642524784763312
ENSG00000140443,0.157935024114534,0.004832301226268,0.370898586477708,1.03156247736883,0.38850876603241,2,-4.29143258938802,16.582865178776,19.1390944972371,1.51322337596278,11,14,0.642524784763312
ENSG00000124164,0.157890915336835,0.004780172670805,0.157054675012767,1.03122036107702,0.388620708304236,2,7.73925293362299,-7.47850586724599,-4.92227654878496,0.271327880377023,11,14,0.642613761001282
ENSG00000115828,0.157782988263579,0.004652622493321,0.553722108806836,1.0303834087375,0.388894724298108,2,-9.90171249286448,27.803424985729,30.35965430419,3.37268991159638,11,14,0.642952296994058
ENSG00000099889,0.157758457031327,0.004623631037023,0.304327697121535,1.03019320397566,0.388957028675109,2,-1.52190216788309,11.0438043357662,13.6000336542272,1.01876881958827,11,14,0.642952296994058
ENSG00000252410,0.157711182185447,0.004567760764619,0.457408869140486,1.0298266861367,0.38907712027322,2,-7.22651856573543,22.4530371314709,25.0092664499319,2.30145160925216,11,14,0.64296106581277
ENSG00000144028,0.157691354153609,0.004544327636083,0.11061251305294,1.02967297334737,0.389127498161378,2,12.6471037502101,-17.2942075004202,-14.7379781819591,0.134586408482755,11,14,0.64296106581277
ENSG00000144647,0.157682470094873,0.004533828293941,0.180547789773571,1.0296041038342,0.389150071982555,2,5.7876317543535,-3.57526350870701,-1.01903419024597,0.358572548313336,11,14,0.64296106581277
ENSG00000069329,0.157640728237151,0.004484497007543,0.170823600058985,1.02928053903872,0.389256149699306,2,6.56272860220723,-5.12545720441445,-2.56922788595342,0.320987725708231,11,14,0.643006528843514
ENSG00000167716,0.157637058367017,0.004480159888293,0.19211072048938,1.02925209332909,0.389265476995427,2,4.91856258813364,-1.83712517626727,0.719104142193759,0.405971818196435,11,14,0.643006528843514
ENSG00000165816,0.15759253129085,0.004427536980095,0.724154371316532,1.02890697708063,0.389378661026411,2,-13.6584954173094,35.3169908346189,37.8732201530799,5.76839508846526,11,14,0.643097377614228
ENSG00000005194,0.157530840140349,0.004354629256776,0.156423056018616,1.028428887434,0.389535519165228,2,7.79566955916965,-7.5913391183393,-5.03510979987826,0.269149896996235,11,14,0.643260320569801
ENSG00000187957,0.157478922683311,0.004293272262095,0.313344213992702,1.02802659550871,0.389667566418672,2,-1.93066352242035,11.8613270448407,14.4175563633017,1.08003056086975,11,14,0.643382249453595
ENSG00000272047,0.157295355861936,0.004076329655015,0.317669452662673,1.02660459184429,0.390134745368715,2,-2.12259055327934,12.2451811065587,14.8014104250197,1.11005269270502,11,14,0.64382183585229
ENSG00000132361,0.157277041190348,0.004054685043139,0.320362040136277,1.02646275090068,0.390181381477298,2,-2.24075540515213,12.4815108103043,15.0377401287653,1.12895020436305,11,14,0.643845882170474
ENSG00000083223,0.15717726241784,0.003936764675629,0.075530942129098,1.02569010629457,0.390435536244178,2,17.9879752130908,-27.9759504261816,-25.4197211077206,0.062754155408001,11,14,0.644097970556422
ENSG00000160111,0.157173275497912,0.003932052861168,0.436686022537256,1.02565923707415,0.390445694471354,2,-6.57743350291984,21.1548670058397,23.7110963243007,2.09764150507349,11,14,0.644097970556422
ENSG00000276418,0.157015458056782,0.003745541339833,0.179377101656816,1.0244375505648,0.390847969431187,2,5.87870459661777,-3.75740919323554,-1.2011798747745,0.353937590586796,11,14,0.644464744463403
ENSG00000071073,0.156902345789795,0.003611863206122,0.152287807877012,1.0235622143348,0.391136499953723,2,8.17075799154544,-8.34151598309087,-5.78528666462984,0.255107340707843,11,14,0.644892394381819
ENSG00000147573,0.156874971892156,0.003579512236184,0.296193490256714,1.0233504126229,0.391206352383836,2,-1.14261209831993,10.2852241966399,12.8414535151009,0.965036420374997,11,14,0.644959458490803
ENSG00000100024,0.156815782424733,0.003509561047412,0.346777691661506,1.02289248939724,0.39135742635243,2,-3.35000599382249,14.700011987645,17.256241306106,1.32280244177491,11,14,0.645119358743537
ENSG00000183918,0.156814104380148,0.003507577903811,0.701075826627876,1.0228795080316,0.391361710054324,2,-13.2050558671564,34.4101117343127,36.9663410527737,5.40658046150155,11,14,0.645119358743537
ENSG00000152784,0.156769484822582,0.003454845699415,0.701730426866223,1.02253434974751,0.391475628659365,2,-13.21812168288,34.43624336576,36.992472684221,5.41668151188837,11,14,0.645132960559035
ENSG00000146834,0.156742877392171,0.003423400554384,0.091573385797244,1.02232854315049,0.391543573248014,2,15.2915992990336,-22.5831985980671,-20.0269692796061,0.09224253485008,11,14,0.645132960559035
ENSG00000274276,0.156742290829754,0.003422707344255,0.358408089139202,1.0223240062779,0.391545071199277,2,-3.81184267524239,15.6236853504848,18.1799146689458,1.41301994196456,11,14,0.645132960559035
ENSG00000038532,0.156716630422786,0.003392381408747,0.131866093026501,1.02212553741865,0.391610606818267,2,10.1865513857499,-12.3731027714997,-9.81687345303871,0.191275331390812,11,14,0.645148586655634
ENSG00000152219,0.156675446322709,0.003343709290475,0.432775559171173,1.02180702674601,0.391715808068996,2,-6.45150072470167,20.9030014494033,23.4592307678644,2.06024153077513,11,14,0.64526998564462
ENSG00000226979,0.156631107054557,0.003291308337204,0.817653887206404,1.02146414932545,0.39182909477243,2,-15.3585789294198,38.7171578588397,41.2733871773007,7.35413667190116,11,14,0.645360415762206
ENSG00000149305,0.156613480169871,0.003270476564393,0.689794452206142,1.02132784990183,0.391874138858398,2,-12.9779423714128,33.9558847428256,36.5121140612867,5.23398024923809,11,14,0.645386517617708
ENSG00000118094,0.156580982513805,0.003232070243588,0.479845629379918,1.0210765775625,0.391957195110273,2,-7.89693341543957,23.7938668308791,26.3500961493402,2.5327701083851,11,14,0.645427130357017
ENSG00000135164,0.156564398741262,0.003212471239673,0.14389918357195,1.02094835905887,0.391999584824366,2,8.9639876744306,-9.9279753488612,-7.37174603040017,0.227776725359413,11,14,0.645448850841163
ENSG00000140395,0.156490098848149,0.003124662275086,0.174886777821507,1.02037396655274,0.392189548532035,2,6.23362590933438,-4.46725181866875,-1.91102250020772,0.33643923562468,11,14,0.645713538678731
