"","WT.16wk.7","WT.16wk.6","WT.16wk.2","YI.6wk.4","YI.6wk.2","YI.6wk.3","YI.6wk.1"
"ENSG00000151062",6.35460203153492,6.27579250870653,6.02698658581755,6.02916420246913,5.83884263936223,6.21240336069763,6.04374455219646
"ENSG00000151065",7.48888327447267,7.64968498249728,7.58255284793716,7.45807409300933,7.6105965681938,7.54986884921654,7.39151371982146
"ENSG00000151067",8.23064317847227,7.78715978614118,8.29133859173808,8.29689917665734,8.34037007337334,9.11412063240262,8.47157794238836
"ENSG00000151090",9.41697811188442,9.37401097735284,9.53588870883203,9.14644147279819,8.93653308596915,9.34728167622064,8.88445962351567
"ENSG00000151092",7.34576006452409,7.49771699062763,7.63997315491225,7.12579386282025,7.2350000942178,7.2221388356581,7.26062912547754
"ENSG00000151093",5.82995603076523,5.86694826470334,6.15067259182545,5.76166231028938,5.63257344095203,5.9802228698904,5.15888230105371
"ENSG00000151116",7.89184389405125,8.32763841348731,7.61870745405895,7.91976309337411,7.5749813048208,7.79739277423695,7.63859088184596
"ENSG00000151117",7.69051496934435,7.59366345913352,7.29146358997412,7.30147921873944,7.69264857536483,7.78433649908165,7.70205368371687
"ENSG00000151135",6.30083215952419,6.47499566645683,6.59005988011007,6.02916420246913,6.12156627433002,6.32488111767315,6.16130681191323
"ENSG00000151136",5.85504610748861,5.36293063553921,5.71592947092667,5.09416263159954,5.83884263936223,5.42918564580937,5.24663059044532
"ENSG00000151150",7.81720576010949,7.26645248870515,7.63291935981665,7.38190027915616,7.5821750425443,7.84218110731118,7.78499318293773
"ENSG00000151151",9.91736951035066,9.99723172279571,10.1075371270016,9.60866425568481,9.27295450746242,9.78598518225555,9.36068024696831
"ENSG00000151164",0,0,0,1.00345529257122,1.94839185465466,0,1.08418499834117
"ENSG00000151176",12.1734990628921,12.5619837679208,12.4335021678267,11.9813152080053,12.045504951363,12.4837800425884,12.0239966799295
"ENSG00000151208",9.76188859674119,9.57906264624929,9.76447275262496,9.56913564532746,9.53634112345871,9.74613827249006,9.56651063650814
"ENSG00000151224",10.7832848902448,11.0072869369145,10.8175218765286,10.6498522465245,9.92236207967984,10.2860763196441,9.99010527144011
"ENSG00000151229",8.66590589928925,8.8179071422596,8.63987498282745,7.87723762199339,8.21640007202725,8.63233944056379,8.21842769921552
"ENSG00000151233",8.06848704575903,8.27071929288747,7.95480799420507,7.67220432576635,7.4389548152192,7.78433649908165,7.28155438357208
"ENSG00000151239",10.3893332169002,10.5951604159996,10.5951330719044,9.97412170924902,10.0432741398837,10.3170047213715,9.9980287677642
"ENSG00000151240",9.08713147479328,9.16405279399738,9.08190249057752,9.28766202899373,9.39439539115457,9.45419720840927,9.3826360567448
"ENSG00000151247",7.77838687197868,8.06978596014072,7.34424202278552,8.36443334043259,8.21176935404585,7.79087940639012,8.25062094554291
"ENSG00000151276",9.40003000918322,9.17840699205277,9.0662782687435,9.16928164092142,8.99429820286808,9.25565089939044,8.98993478033058
"ENSG00000151304",6.7914563685171,6.83049879228393,6.92640299059019,7.02921717341854,6.54620388096355,6.81031861389112,6.57129611770692
