"","Intercept","age_young_vs_old","Q0.00"
"ENSNFUG00015000634",5.62824538553118,0.116377581370951,0.00110686255667249
"ENSNFUG00015000636",1.96848286733394,0.460655870344094,-0.00210238244441546
"ENSNFUG00015000637",2.33193148684948,0.684476533316731,0.000594108888251524
"ENSNFUG00015000640",2.58524343617969,0.877003985717487,-0.00200038736396649
"ENSNFUG00015000645",2.10515628343795,-0.565539362328972,-0.00193133310483374
"ENSNFUG00015000647",0.565168961478928,2.40693935374257,-0.00494462231083859
"ENSNFUG00015000648",-0.20579517644405,2.02119251446915,-0.00542708644423934
"ENSNFUG00015000652",0.225237614065135,0.505277110870065,-0.000711218885064306
"ENSNFUG00015000654",-2.14146017969005,-2.02125969529544,0.00343274674892009
"ENSNFUG00015000655",4.31667732075633,-0.515382497883137,0.00112004548447873
"ENSNFUG00015000656",10.8151546657268,-0.42722051424612,0.00025994808348497
"ENSNFUG00015000657",-1.65977210116956,-0.278643822488958,-0.00118405979803339
"ENSNFUG00015000659",8.62970921494055,0.329180287895047,-0.000219344892383599
"ENSNFUG00015000663",1.1707978554055,-1.27315125377537,0.00193952377612805
"ENSNFUG00015000666",2.06250699855187,0.322703227878616,-0.00252042570295401
"ENSNFUG00015000668",0.625995538496864,1.2199716032954,-0.00334403838712233
"ENSNFUG00015000670",4.12041425870468,-0.0760662743153202,0.00115255036293862
"ENSNFUG00015000671",6.01988649532197,-0.439521062923924,0.000491095343778456
"ENSNFUG00015000672",8.85616474639987,-0.0673488805661487,0.000340750891569355
"ENSNFUG00015000674",-0.343013638225325,1.37068502378726,-0.00373331621395159
"ENSNFUG00015000677",2.58284784956168,-0.0242835882243764,-0.0038004438840341
"ENSNFUG00015000678",-0.107325055771308,2.36856171117057,-0.00472801587207508
"ENSNFUG00015000684",1.99076897069877,0.0498604129309157,-0.000523821885485705
"ENSNFUG00015000685",0.0568608825331842,0.298501502041604,0.00184154513287008
"ENSNFUG00015000686",2.67768741502826,2.0016240812977,-0.00425903675483725
"ENSNFUG00015000687",0.497064435459753,1.83727992949464,-0.0033346430931636
"ENSNFUG00015000690",0.776621223400672,1.55579175304518,0.00234042304728416
"ENSNFUG00015000692",4.24456163925251,2.17483422825705,-0.00181430926919817
"ENSNFUG00015000693",1.05230698035954,0.738055851772433,-0.0023937059072598
