"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3223","ENSNFUG00015006238",2664.39725625371,-0.769762325389361,0.130515175611487,-5.89787602692858,3.68210449032092e-09,3.69097501477488e-07
"3224","ENSNFUG00015006349",250.178834557855,-1.53075709011942,0.262375591566496,-5.83422063378739,5.40425717186623e-09,5.02869550258084e-07
"3225","ENSNFUG00015006356",142.367817071467,-1.81993276373986,0.306123460721741,-5.94509404620293,2.7629817678983e-09,2.90152556797434e-07
"3226","ENSNFUG00015006427",32.3315071775319,3.88371421828437,1.25567819112317,3.09292161458223,0.0019819647798731,0.0118034753687662
"3227","ENSNFUG00015006428",589.515719945164,-0.581157721781706,0.187005531784972,-3.1077033723791,0.00188547207682004,0.0113762833680198
"3228","ENSNFUG00015006446",164.627515606385,-0.332170963525245,0.113560859914854,-2.9250479766911,0.00344403121339921,0.0181051776755883
"3229","ENSNFUG00015006454",176.986831228127,1.16606554762103,0.237578276980922,4.90813201627296,9.19479556982833e-07,2.77770995481403e-05
"3230","ENSNFUG00015006597",8.09633084148652,1.94238751370695,0.654794240590939,2.96640897750411,0.00301299532395736,0.0163659078520275
"3231","ENSNFUG00015006646",63.7859967929799,3.36837955701461,0.852892319466203,3.94936087491416,7.83601393498079e-05,0.000913359488943611
"3232","ENSNFUG00015006743",352.688044185751,0.247383685294485,0.0767437777188924,3.22350153520765,0.00126633619727122,0.00831641219726688
"3233","ENSNFUG00015006758",752.779248418445,-0.499898766110886,0.148286331306405,-3.37117225644987,0.000748490405253688,0.00545848508831335
"3234","ENSNFUG00015007238",24.256045033401,1.65447620020812,0.448137030289063,3.69189798741008,0.000222586748464322,0.00210444605267044
"3235","ENSNFUG00015007244",20.6602516172678,2.89023991854395,0.775017870313848,3.72925583944733,0.000192046090273426,0.00187480851208493
"3236","ENSNFUG00015007263",188.10132486888,0.388997730479043,0.115831180457507,3.3583162059006,0.000784188513404078,0.00566515500597202
"3237","ENSNFUG00015007285",58.294296119852,2.87780375420812,0.783351319590891,3.67370767398601,0.000239056212498869,0.00222631193168816
"3238","ENSNFUG00015007328",499.847882101645,-0.315264768670175,0.114282615276978,-2.7586415300883,0.0058042165443265,0.0274737899660941
"3239","ENSNFUG00015007398",212.454446342953,0.809486165137604,0.186723022971606,4.33522418529342,1.45611646348986e-05,0.000234563450469991
"3240","ENSNFUG00015007463",25.2024979204446,0.55727226331071,0.222738901196894,2.50190810997177,0.0123525981349447,0.0494395366007144
"3241","ENSNFUG00015007468",69.7477773717472,-0.571677328123134,0.161055975098832,-3.54955677845745,0.000385880240670263,0.00324183502761955
"3242","ENSNFUG00015007479",91.0867252750968,-0.506074266674429,0.148862531489374,-3.39960809218505,0.00067482500773815,0.00503447763722917
"3243","ENSNFUG00015007492",11112.0073931997,-0.594530121660336,0.165864696503455,-3.58442835753147,0.000337817273226434,0.00292438233393443
"3244","ENSNFUG00015007570",21122.4217478731,0.50769587710346,0.124382678734932,4.08172490146635,4.47026909824137e-05,0.000574492100370145
"3245","ENSNFUG00015007674",736.705792548181,-0.380844866603603,0.132959842150043,-2.86436009884718,0.00417852688966725,0.0211690910861089
"3246","ENSNFUG00015007863",199.044398152435,3.44742006396456,0.958991230219516,3.59484003120178,0.000324590957906167,0.00283156819410787
"3247","ENSNFUG00015007884",3.68088287239924,2.39991338029759,0.690741488595365,3.47440166823896,0.00051199398164149,0.00405527484884083
"3248","ENSNFUG00015007891",4.24637626514519,3.46656085284879,1.21593003555396,2.85095420911244,0.00435882461705754,0.0218841707176678
"3249","ENSNFUG00015007978",20.7904650078682,3.18088506049646,0.698058654391587,4.55675900654631,5.19489697883983e-06,0.000104148239158504
"3250","ENSNFUG00015007983",511.363939082141,-0.32624126253578,0.101478726131707,-3.21487345152874,0.00130502040072638,0.00850210188987263
"3251","ENSNFUG00015007986",96.4905614107277,1.29521048628524,0.357567509939306,3.62228236705592,0.000292015112785284,0.00261038073865175
"3252","ENSNFUG00015008004",54.2912495721009,1.79018589900089,0.368617427551224,4.85648741811624,1.19486369891615e-06,3.38045946314643e-05
"3253","ENSNFUG00015008007",179.05402080721,1.70159564563723,0.476174911818875,3.57346765527302,0.000352284776415513,0.0030158913720075
"3254","ENSNFUG00015008015",1396.73011769335,3.0633747923369,0.349345121898531,8.7689067352332,1.8040939669118e-18,2.48660526576912e-15
"3255","ENSNFUG00015008096",372.369920466443,0.888328441554075,0.1968381555602,4.51298905451486,6.39203220872409e-06,0.000123543809201571
"3256","ENSNFUG00015008189",19.8371709409813,-0.954191103686497,0.284829665627914,-3.35004116085647,0.000807995526788345,0.00579282358656156
"3257","ENSNFUG00015008294",758.375039386285,-0.547872023387928,0.168231317463402,-3.25665893633101,0.00112731798503355,0.00758180650318538
"3258","ENSNFUG00015008342",27.175923372948,-0.937297725858113,0.344822985923374,-2.71819966800704,0.00656382148730146,0.0302575157314923
"3259","ENSNFUG00015008345",814.048683551583,1.26308011920917,0.389321857379659,3.24430826388831,0.0011773625253635,0.00784896486452276
"3260","ENSNFUG00015008359",20726.5300024521,0.407779842583163,0.110291353106813,3.69729657943577,0.000217907708615778,0.00207530876961224
"3261","ENSNFUG00015008571",9.14948007418407,-1.44420717950679,0.508340532792695,-2.84102306690494,0.00449690595755972,0.0224316369785263
"3262","ENSNFUG00015008622",280.89181903258,0.378765751970791,0.0997111768900733,3.79862883765139,0.000145498790255006,0.00150219326848953
"3263","ENSNFUG00015008788",200.26219272959,0.511571085887982,0.130597594067403,3.91715551531488,8.95999505195247e-05,0.00101434687310425
"3264","ENSNFUG00015008800",814.068945124385,-0.43888705677239,0.151269659232524,-2.90135549322389,0.00371552104662951,0.0192258436450196
