,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HGNC
8042,ENSNFUG00015004668,75.9844630482308,0.0048207392585917,0.001096886498844,4.39492988898304,1.10808511625276e-05,0.0284131832168274,TIRAP
8046,ENSNFUG00015004694,11.478062867066,0.0103042825224143,0.0035992015933734,2.86293564144498,0.0041973581061464,0.392860783119842,CXCR5
8813,ENSNFUG00015002769,1979.22476636695,0.0019468398739415,0.0010729070781757,1.81454658426865,0.0695936176230391,0.736463669381136,SLC7A9
8963,ENSNFUG00015004324,670.417082686662,0.0012933775943421,0.0006094801502858,2.1220996183969,0.0338293734491786,0.658464999272614,CD81
8996,ENSNFUG00015004558,128.875183521646,0.0047320281013177,0.000992643681139,4.7670963823469,1.86899913272399e-06,0.0184554319360831,SWAP70
9508,ENSNFUG00015017308,4195.84580982244,0.0017903766835427,0.0013106441466728,1.36602806191726,0.171930155702868,0.829228855008623,DPEP1
9603,ENSNFUG00015020429,509.67966697757,0.0018817129355596,0.0009456198681012,1.98992533790353,0.0465991607240875,0.700164562777454,GAS6
10010,ENSNFUG00015010843,21.5112043405241,-0.0030302651459495,0.0023034619214976,-1.3155264767647,0.188333025018801,0.833458678087114,APOD
10041,ENSNFUG00015011145,35.2474690513818,0.0015473584985077,0.0016923234013031,0.914339716224604,0.36053836758033,0.912988317894232,SLIT2
10386,ENSNFUG00015017784,29.5467719907358,0.0029409792989226,0.0019188265395429,1.53269680104759,0.125350577745528,0.793207818544913,P2RY12
10752,ENSNFUG00015005218,99.0733066913008,0.0022565287971188,0.0016053547837153,1.40562623291064,0.159835142093387,0.822342020890386,EDNRB
10799,ENSNFUG00015005885,30.0810684446929,0.0026768618970834,0.001443430781506,1.85451351833478,0.0636657279543538,0.725758846699697,HOXA7
10862,ENSNFUG00015006590,17.2486373178542,0.0026549311328396,0.0022599592420378,1.1747694752431,0.240086955425447,0.864363937332576,TRIM55
11312,ENSNFUG00015012371,16.5772477806438,0.0007238749693174,0.0018455566363072,0.392225822322011,0.694891366191969,0.969774631236225,CXCR4
12037,ENSNFUG00015005075,66.0017695443821,0.0011008493383531,0.001335937932446,0.824027308168085,0.409924041596544,0.923483475726928,HRH1
12429,ENSNFUG00015009293,22.0294638605649,0.0026865021763179,0.0014836856255687,1.81069502192427,0.0701880738722751,0.737544669735697,ANGPT4
12870,ENSNFUG00015016260,291.394278769842,0.001124450103487,0.0011512755359732,0.976699381122956,0.328718001648848,0.902397486777704,F7
13639,ENSNFUG00015006690,653.462244834801,0.0013597432969905,0.0008728041887982,1.557901891904,0.119256506676583,0.788482340259737,CSF1R
13779,ENSNFUG00015008317,13.2184963135961,0.0027574510884974,0.0025148246517909,1.09647847078867,0.272869439947162,0.875430826655388,UMODL1
14023,ENSNFUG00015013703,545.115397530563,0.0029758897842575,0.0009555559859333,3.11430185992811,0.0018438074915074,0.297685446912411,HCK
14320,ENSNFUG00015021240,90.7482964669797,0.0014907833023161,0.0009452996613444,1.57704838293908,0.11478439274945,0.783873560213782,DOK2
14517,ENSNFUG00015024745,160.676465755323,0.0013147722561842,0.0013378569612483,0.982745012559074,0.325732950955872,0.902397486777704,SPNS2
14594,ENSNFUG00015005120,682.411691324848,0.0021845982221485,0.0006925052413851,3.15463059568894,0.0016070143751854,0.291164466931544,INPP5D
14764,ENSNFUG00015008342,27.175923372948,0.0023377773918363,0.0017865463487497,1.30854561566367,0.190688313212053,0.835697119405273,CH25H
14847,ENSNFUG00015010198,522.860515586675,0.0005042616992017,0.0007719569643167,0.653225144031254,0.513611142555814,0.945419191091737,ITGAX
16970,ENSNFUG00015012080,432.03429014685,0.0035216267868026,0.0008371727452409,4.20657123254656,2.59274385630926e-05,0.0426700820152097,ITGA4
17033,ENSNFUG00015014913,832.82369140916,0.0015822920725691,0.0009958992696398,1.58880734307736,0.11210389493979,0.781339880525824,ITGB2
17093,ENSNFUG00015016460,73.8273771748817,0.0028388617503148,0.0011371661964011,2.49643522582633,0.0125448577660659,0.558738546659192,GPR183
17221,ENSNFUG00015021242,22.7964707865299,-0.0003748263660265,0.0014267133812132,-0.262720158766445,0.792766277993198,0.981517474720184,VSIR
